ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Caff,Choc,Coke,Ecstasy,Heroin,LSD,Mushrooms,Nicotine,Benzos
407,25-34,M,University degree,Bangladesh,Ntribe,-0.67825,0.16767,0.58331,0.13136,-0.27607,0.19268,-1.54858,CL3,CL6,CL6,CL1,CL1,CL0,CL1,CL1,CL6,CL1
408,35-44,F,Professional certificate/ diploma,Bangladesh,Ntribe,-1.55078,0.80523,0.7233,0.28783,0.58489,-0.21712,0.40148,CL1,CL6,CL6,CL1,CL0,CL0,CL0,CL0,CL6,CL2
409,45-54,M,Left school at 18 years,Bangladesh,Ntribe,1.02119,-1.37639,0.44585,0.94156,-1.38502,0.88113,0.40148,CL5,CL6,CL6,CL1,CL2,CL1,CL1,CL2,CL2,CL3
410,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.46725,-1.50796,0.29338,0.13136,-1.64101,-0.21712,-0.84637,CL3,CL3,CL6,CL1,CL1,CL0,CL1,CL1,CL1,CL1
411,25-34,F,University degree,Bangladesh,Ntribe,0.13606,1.11406,-0.97631,0.43852,-0.27607,-0.71126,-0.52593,CL6,CL3,CL6,CL2,CL2,CL0,CL0,CL0,CL2,CL0
412,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.04257,-0.15487,0.7233,0.13136,-0.40581,-0.21712,-0.21575,CL5,CL6,CL5,CL3,CL2,CL0,CL2,CL2,CL6,CL2
413,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-1.86962,0.32197,-1.11902,-0.15487,-0.65253,0.19268,-0.21575,CL6,CL6,CL4,CL0,CL0,CL0,CL0,CL1,CL1,CL0
414,18-24,M,Left school at 18 years,Bangladesh,Ntribe,-0.58016,-1.09207,-0.58331,-2.07848,2.63199,-0.21712,0.7654,CL6,CL6,CL6,CL3,CL3,CL0,CL3,CL3,CL5,CL0
415,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.05188,-0.69509,0.29338,-2.21844,-1.25773,0.19268,0.7654,CL5,CL6,CL5,CL5,CL3,CL0,CL0,CL2,CL6,CL3
416,25-34,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.79151,0.96248,0.14143,-1.07533,-0.65253,1.29221,1.92173,CL5,CL5,CL4,CL2,CL2,CL0,CL2,CL2,CL2,CL0
417,25-34,F,Doctorate degree,Bangladesh,Ntribe,0.31287,0.00332,1.06238,-0.45321,0.41594,-0.21712,-0.21575,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL2,CL0,CL0
418,25-34,M,University degree,Bangladesh,Ntribe,0.62967,0.16767,-0.17779,-0.30172,0.12331,0.19268,-0.52593,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
419,18-24,M,Left school at 18 years,Bangladesh,Ntribe,0.31287,0.80523,-0.01928,-0.91699,1.13407,0.52975,0.7654,CL4,CL6,CL4,CL0,CL3,CL0,CL0,CL0,CL5,CL0
420,25-34,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.31287,-1.7625,-1.42424,-0.30172,-0.40581,0.52975,-0.84637,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
421,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.79151,-0.15487,-0.01928,1.81866,-0.65253,-0.21712,-1.18084,CL4,CL6,CL6,CL1,CL1,CL0,CL1,CL1,CL6,CL3
422,35-44,F,University degree,Bangladesh,Ntribe,-1.05308,0.80523,-0.71727,1.2861,0.93949,-0.21712,-0.84637,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
423,45-54,F,Doctorate degree,Bangladesh,Ntribe,0.52135,0.00332,1.65653,0.94156,-0.00665,1.29221,0.40148,CL3,CL6,CL6,CL1,CL2,CL1,CL2,CL2,CL1,CL1
424,35-44,M,University degree,Bangladesh,Ntribe,-0.34799,-0.30033,0.14143,-0.30172,-1.64101,-0.21712,-0.84637,CL6,CL6,CL5,CL1,CL3,CL0,CL1,CL2,CL5,CL0
425,45-54,M,Left school at 16 years,Bangladesh,Ntribe,0.22393,0.00332,-0.31776,-0.15487,-0.00665,0.52975,-0.21575,CL5,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL3
426,35-44,M,University degree,Bangladesh,Ntribe,0.62967,-0.80615,-0.17779,-1.34289,-0.14277,0.88113,0.07987,CL6,CL6,CL5,CL3,CL3,CL0,CL3,CL4,CL0,CL1
427,25-34,F,Left school at 18 years,Bangladesh,Ntribe,-0.92104,-0.15487,-2.09015,0.28783,0.7583,-1.37983,-1.54858,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL3
428,25-34,M,Left school before 16 years,Bangladesh,Ntribe,0.22393,-0.94779,-1.42424,-0.76096,-0.27607,-0.21712,-0.21575,CL5,CL6,CL6,CL0,CL1,CL0,CL1,CL1,CL6,CL0
429,25-34,F,Left school at 18 years,Bangladesh,Ntribe,0.04257,0.32197,-0.97631,0.94156,-1.0145,0.19268,-0.21575,CL5,CL6,CL5,CL2,CL2,CL0,CL0,CL2,CL5,CL0
430,25-34,M,University degree,Bangladesh,Ntribe,-0.24649,-0.30033,-1.68062,0.28783,0.12331,-0.71126,-1.18084,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
431,45-54,F,Left school at 16 years,Bangladesh,Ntribe,0.22393,1.93886,-1.11902,1.2861,-0.14277,1.86203,0.7654,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL3,CL0
432,18-24,F,University degree,Bangladesh,Ntribe,-0.14882,0.96248,-1.55521,2.23427,1.63088,-0.21712,-0.52593,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
433,25-34,F,University degree,Bangladesh,Ntribe,0.04257,0.47617,-1.11902,0.59042,1.81175,-0.71126,-0.52593,CL4,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
434,55-64,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.67825,-0.30033,1.06238,1.81866,0.7583,-1.37983,-1.18084,CL1,CL2,CL5,CL1,CL0,CL0,CL1,CL0,CL0,CL0
435,45-54,M,Left school at 16 years,Bangladesh,Ntribe,-1.43907,0.47617,0.29338,-0.91699,0.41594,0.52975,0.40148,CL6,CL6,CL4,CL3,CL2,CL2,CL1,CL0,CL2,CL2
436,25-34,F,University degree,Bangladesh,Ntribe,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,CL5,CL6,CL6,CL2,CL0,CL2,CL0,CL2,CL6,CL6
437,18-24,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.37297,-0.30033,0.29338,-0.15487,-1.78169,0.19268,-0.21575,CL4,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0
438,35-44,F,University degree,Bangladesh,Ntribe,-0.46725,0.47617,-0.58331,0.76096,1.81175,-0.21712,-0.52593,CL6,CL6,CL6,CL2,CL0,CL0,CL0,CL1,CL2,CL0
439,18-24,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.67825,1.45421,-2.09015,-0.01729,0.58489,0.52975,0.07987,CL3,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
440,25-34,F,Masters degree,Bangladesh,Ntribe,-0.92104,0.00332,0.29338,-0.15487,-0.00665,0.19268,0.07987,CL5,CL6,CL6,CL3,CL4,CL0,CL2,CL2,CL6,CL0
441,35-44,M,Left school at 16 years,Bangladesh,Ntribe,0.41667,0.63779,-0.71727,-0.76096,-0.27607,-0.21712,-0.21575,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL5,CL0
442,45-54,F,Professional certificate/ diploma,Bangladesh,Ntribe,-0.46725,0.80523,0.58331,0.13136,0.7583,-2.55524,-0.84637,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
443,45-54,F,University degree,Bangladesh,Ntribe,1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
444,25-34,F,University degree,Bangladesh,Ntribe,0.22393,-1.09207,0.44585,2.75696,-0.65253,-0.71126,0.40148,CL6,CL5,CL5,CL2,CL2,CL0,CL3,CL2,CL6,CL2
445,25-34,M,Masters degree,Bangladesh,Ntribe,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,1.29221,0.07987,CL6,CL6,CL6,CL2,CL2,CL0,CL0,CL2,CL6,CL0
446,18-24,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.13281,1.45421,1.06238,-1.772,-0.89891,1.29221,1.2247,CL5,CL6,CL5,CL0,CL2,CL0,CL4,CL3,CL5,CL3
447,18-24,M,University degree,Bangladesh,Ntribe,-0.34799,0.63779,0.44585,-0.30172,0.7583,-0.21712,0.07987,CL5,CL3,CL6,CL3,CL4,CL0,CL3,CL3,CL0,CL0
448,18-24,F,University degree,Bangladesh,Ntribe,0.73545,-0.15487,-0.84732,0.59042,-1.0145,0.52975,0.07987,CL5,CL6,CL4,CL2,CL2,CL0,CL0,CL2,CL6,CL2
449,18-24,F,Masters degree,Bangladesh,Ntribe,-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,CL5,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0
450,35-44,F,University degree,Bangladesh,Ntribe,-0.14882,-0.15487,0.14143,0.13136,0.93949,-1.37983,0.07987,CL5,CL3,CL6,CL2,CL0,CL0,CL0,CL0,CL3,CL0
451,25-34,M,University degree,Bangladesh,Ntribe,1.23461,-1.7625,-0.31776,0.13136,0.41594,-1.37983,-0.21575,CL5,CL4,CL5,CL0,CL2,CL0,CL0,CL2,CL2,CL0
452,45-54,M,Doctorate degree,Bangladesh,Ntribe,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,CL6,CL6,CL6,CL3,CL3,CL5,CL4,CL3,CL4,CL5
453,18-24,F,University degree,Bangladesh,Ntribe,0.82562,-0.80615,0.7233,-0.76096,-2.57309,0.88113,-0.21575,CL6,CL6,CL5,CL0,CL2,CL0,CL0,CL0,CL5,CL0
454,35-44,M,University degree,Bangladesh,Ntribe,1.60383,-0.43999,0.29338,-2.21844,-0.65253,0.88113,0.40148,CL6,CL6,CL6,CL3,CL3,CL3,CL2,CL2,CL6,CL4
455,35-44,F,Masters degree,Bangladesh,Ntribe,-0.46725,-0.57545,0.14143,0.59042,0.7583,-1.37983,-2.07848,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
456,18-24,F,University degree,Bangladesh,Ntribe,0.62967,0.00332,0.14143,0.59042,0.12331,-0.21712,0.07987,CL6,CL6,CL6,CL2,CL4,CL0,CL3,CL3,CL6,CL0
457,25-34,M,Masters degree,Bangladesh,Ntribe,0.91093,1.2861,1.88511,-2.5383,-0.40581,0.52975,0.07987,CL4,CL6,CL6,CL2,CL3,CL0,CL3,CL3,CL5,CL0
458,18-24,F,University degree,Bangladesh,Ntribe,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,CL6,CL6,CL6,CL3,CL2,CL3,CL2,CL2,CL6,CL4
459,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.49158,-1.37639,-2.63199,1.81866,-1.25773,0.52975,-1.18084,CL5,CL6,CL4,CL0,CL3,CL0,CL0,CL2,CL0,CL0
460,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.82562,0.47617,1.43533,0.13136,-2.30408,1.29221,1.2247,CL3,CL6,CL6,CL2,CL2,CL0,CL1,CL1,CL6,CL1
461,45-54,M,Left school at 18 years,Bangladesh,Ntribe,1.02119,-0.94779,-0.58331,1.45039,-1.25773,-0.21712,0.40148,CL6,CL6,CL3,CL1,CL0,CL0,CL1,CL1,CL3,CL0
462,18-24,F,University degree,Bangladesh,Ntribe,0.31287,-0.80615,1.06238,0.76096,0.93949,0.19268,-0.21575,CL5,CL5,CL5,CL0,CL2,CL0,CL3,CL3,CL6,CL3
463,18-24,F,Masters degree,Bangladesh,Ntribe,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
464,18-24,F,University degree,Bangladesh,Ntribe,0.31287,0.63779,1.06238,1.11406,-0.27607,-0.71126,0.7654,CL0,CL6,CL5,CL0,CL3,CL0,CL0,CL2,CL6,CL2
465,45-54,M,University degree,Bangladesh,Ntribe,0.22393,0.00332,1.24033,-0.01729,1.46191,-0.21712,-0.21575,CL6,CL2,CL5,CL1,CL0,CL0,CL1,CL1,CL2,CL0
466,35-44,M,University degree,Bangladesh,Ntribe,-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
467,25-34,M,University degree,Bangladesh,Ntribe,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,CL5,CL6,CL5,CL3,CL3,CL0,CL3,CL2,CL6,CL0
468,45-54,F,Left school at 16 years,Bangladesh,Ntribe,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,CL3,CL6,CL6,CL1,CL1,CL2,CL1,CL0,CL6,CL6
469,18-24,F,University degree,Bangladesh,Ntribe,0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,CL4,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
470,18-24,M,Masters degree,Bangladesh,Ntribe,-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,CL5,CL6,CL5,CL2,CL3,CL0,CL3,CL3,CL6,CL2
471,18-24,F,Left school before 16 years,Bangladesh,Ntribe,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,CL5,CL6,CL5,CL2,CL2,CL2,CL2,CL0,CL6,CL2
472,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,CL2,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL6,CL3
473,55-64,F,University degree,Bangladesh,Ntribe,-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
474,45-54,F,University degree,Bangladesh,Ntribe,-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,CL3,CL6,CL4,CL1,CL0,CL0,CL1,CL0,CL1,CL0
475,35-44,M,University degree,Bangladesh,Ntribe,1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,CL6,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL6,CL0
476,35-44,F,Professional certificate/ diploma,Bangladesh,Ntribe,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,CL6,CL6,CL5,CL3,CL0,CL0,CL0,CL0,CL6,CL6
477,25-34,F,University degree,Bangladesh,Ntribe,0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL0
478,25-34,F,Masters degree,Bangladesh,Ntribe,0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL2
479,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,CL3,CL6,CL4,CL3,CL3,CL3,CL3,CL3,CL6,CL3
480,35-44,F,University degree,Bangladesh,Ntribe,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,CL6,CL6,CL5,CL2,CL2,CL1,CL1,CL1,CL6,CL6
481,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,CL0,CL6,CL2,CL1,CL1,CL1,CL1,CL1,CL3,CL0
482,25-34,F,University degree,Bangladesh,Ntribe,1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,CL2,CL5,CL5,CL0,CL4,CL0,CL0,CL3,CL3,CL2
483,35-44,F,Left school at 16 years,Bangladesh,Ntribe,-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,CL4,CL6,CL6,CL1,CL1,CL0,CL0,CL0,CL6,CL0
484,45-54,F,Left school at 16 years,Bangladesh,Ntribe,-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
485,25-34,M,Left school at 18 years,Bangladesh,Ntribe,1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL5,CL2
486,35-44,F,Left school at 18 years,Bangladesh,Ntribe,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,CL4,CL6,CL6,CL1,CL0,CL1,CL1,CL1,CL6,CL6
487,25-34,M,Left school at 16 years,Bangladesh,Ntribe,0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,CL6,CL6,CL6,CL3,CL3,CL0,CL0,CL2,CL3,CL2
488,18-24,M,Left school before 16 years,Bangladesh,Ntribe,1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,CL3,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0
489,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,CL5,CL6,CL5,CL3,CL4,CL0,CL4,CL4,CL5,CL0
490,45-54,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,CL5,CL6,CL5,CL1,CL1,CL1,CL1,CL1,CL6,CL1
491,18-24,M,Left school at 18 years,Bangladesh,Ntribe,-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,CL6,CL5,CL4,CL3,CL4,CL0,CL0,CL3,CL4,CL0
492,18-24,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL4
493,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,CL6,CL6,CL5,CL0,CL5,CL0,CL4,CL4,CL6,CL0
494,18-24,M,Professional certificate/ diploma,Bangladesh,Ntribe,-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,CL4,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
495,55-64,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.79151,0.16767,0.58331,0.59042,0.93949,-1.37983,-0.52593,CL3,CL6,CL6,CL1,CL0,CL0,CL1,CL0,CL6,CL1
496,25-34,M,Masters degree,Bangladesh,Ntribe,0.04257,1.2861,2.90161,-0.60633,-0.00665,-0.71126,0.07987,CL6,CL6,CL6,CL2,CL2,CL0,CL2,CL2,CL6,CL2
497,25-34,M,Left school at 16 years,Bangladesh,Ntribe,-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,CL4,CL6,CL5,CL1,CL1,CL0,CL1,CL1,CL6,CL0
498,55-64,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,CL5,CL6,CL6,CL2,CL2,CL1,CL1,CL1,CL2,CL3
499,35-44,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,CL3,CL6,CL6,CL4,CL4,CL0,CL0,CL0,CL6,CL2
500,25-34,F,Professional certificate/ diploma,Bangladesh,Ntribe,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,CL3,CL6,CL5,CL0,CL1,CL0,CL0,CL0,CL6,CL0
501,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,CL5,CL6,CL6,CL0,CL0,CL0,CL4,CL3,CL5,CL0
502,55-64,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,CL1,CL5,CL4,CL1,CL0,CL0,CL1,CL1,CL1,CL4
503,35-44,M,Left school at 16 years,Bangladesh,Ntribe,-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,CL1,CL6,CL5,CL0,CL0,CL0,CL0,CL1,CL6,CL0
504,45-54,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,CL3,CL6,CL6,CL2,CL1,CL0,CL1,CL1,CL6,CL3
505,35-44,M,University degree,Bangladesh,Ntribe,-0.46725,0.63779,0.88309,-0.76096,0.58489,0.19268,0.07987,CL4,CL6,CL5,CL1,CL0,CL0,CL0,CL3,CL2,CL1
506,25-34,M,University degree,Bangladesh,Ntribe,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,0.19268,-0.52593,CL3,CL5,CL6,CL3,CL2,CL0,CL0,CL2,CL6,CL0
507,35-44,M,Left school at 16 years,Bangladesh,Ntribe,1.49158,-1.09207,-1.11902,-1.772,-0.78155,-0.71126,0.07987,CL5,CL5,CL6,CL1,CL0,CL0,CL1,CL0,CL2,CL3
508,35-44,F,Masters degree,Bangladesh,Ntribe,-1.05308,1.11406,-0.31776,0.28783,0.12331,-1.37983,-0.52593,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL1,CL0
509,35-44,M,University degree,Bangladesh,Ntribe,0.04257,0.96248,-0.58331,-0.30172,-0.40581,0.52975,-0.21575,CL5,CL6,CL5,CL2,CL2,CL0,CL1,CL1,CL5,CL0
510,45-54,F,Masters degree,Bangladesh,Ntribe,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,CL5,CL6,CL6,CL1,CL0,CL1,CL1,CL0,CL5,CL1
511,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,CL6,CL6,CL6,CL3,CL3,CL0,CL0,CL0,CL6,CL0
512,55-64,M,Left school at 16 years,Bangladesh,Ntribe,-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,CL3,CL6,CL6,CL4,CL3,CL1,CL1,CL1,CL6,CL1
513,35-44,M,Left school at 16 years,Bangladesh,Ntribe,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,CL6,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
514,18-24,F,Left school at 17 years,Bangladesh,Ntribe,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,CL5,CL6,CL5,CL0,CL3,CL0,CL0,CL3,CL6,CL5
515,35-44,F,Left school at 16 years,Bangladesh,Ntribe,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593,CL6,CL6,CL6,CL2,CL1,CL2,CL0,CL2,CL6,CL2
516,25-34,F,Masters degree,Bangladesh,Ntribe,0.31287,-0.15487,0.29338,-0.45321,0.93949,-0.71126,-0.21575,CL2,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL3
517,25-34,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,CL2,CL6,CL6,CL3,CL3,CL3,CL2,CL0,CL6,CL6
518,25-34,M,Masters degree,Bangladesh,Ntribe,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,CL5,CL5,CL5,CL2,CL3,CL2,CL0,CL0,CL5,CL4
519,35-44,F,University degree,Bangladesh,Ntribe,0.22393,-0.30033,-0.97631,-0.76096,0.93949,-1.37983,-2.07848,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL5,CL0
520,45-54,F,Left school at 16 years,Bangladesh,Ntribe,0.62967,-0.30033,-0.84732,-0.45321,0.12331,-0.71126,-1.18084,CL3,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL6
521,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,CL5,CL6,CL5,CL0,CL3,CL0,CL3,CL3,CL6,CL0
522,18-24,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,0.19268,0.07987,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
523,35-44,F,Left school before 16 years,Bangladesh,Ntribe,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848,CL2,CL6,CL5,CL2,CL2,CL2,CL1,CL0,CL3,CL2
524,45-54,F,University degree,Bangladesh,Ntribe,-0.67825,0.63779,1.06238,2.03972,2.63199,0.19268,0.07987,CL5,CL0,CL3,CL1,CL1,CL0,CL3,CL1,CL0,CL6
525,55-64,M,Left school at 18 years,Bangladesh,Ntribe,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,CL6,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0
526,18-24,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,CL4,CL4,CL5,CL4,CL3,CL0,CL0,CL0,CL4,CL0
527,35-44,M,Doctorate degree,Bangladesh,Ntribe,0.62967,-0.15487,-0.17779,0.59042,-1.64101,0.52975,-0.21575,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
528,25-34,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.73545,1.11406,-0.01928,-0.01729,-0.00665,-0.21712,1.2247,CL5,CL6,CL6,CL5,CL2,CL0,CL1,CL2,CL5,CL1
529,55-64,M,University degree,Bangladesh,Ntribe,0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0
530,45-54,M,University degree,Bangladesh,Ntribe,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,CL5,CL6,CL5,CL3,CL2,CL1,CL2,CL2,CL6,CL2
531,18-24,F,University degree,Bangladesh,Ntribe,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,CL4,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL2,CL2
532,25-34,M,Masters degree,Bangladesh,Ntribe,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,CL4,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
533,35-44,F,Masters degree,Bangladesh,Ntribe,-1.86962,2.32338,-0.45174,1.45039,1.46191,0.19268,-1.18084,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0
534,25-34,F,University degree,Bangladesh,Ntribe,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575,CL5,CL6,CL4,CL6,CL2,CL3,CL2,CL2,CL6,CL6
